Nama,Harga,Harga Diskon,Diskon,Stok,Terjual,Kota,Provinsi,Link
FNHON FREEDOM 16 INCH 3 SPEED SEPEDA LIPAT RINGAN FOLDING BIKE,750000,6750000,0,3,1,Jakarta Selatan,DKI Jakarta,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/446ukgp-jual-fnhon-freedom-16-inch-3-speed-sepeda-lipat-ringan-folding-bike
Xiaomi Sepeda Lipat Elektrik HIMO Z20 Smart Moped Bicycle 250W 80KM,60006500,9160990,85,100,0,Jakarta Pusat,DKI Jakarta,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4dhd5oj-jual-xiaomi-sepeda-lipat-elektrik-himo-z20-smart-moped-bicycle-250w-80km
Sepeda Elektrik Lipat Lankeleisi Moped Lite Edition 48V 8.7AH - G660,48575500,7586990,84,100,0,Jakarta Pusat,DKI Jakarta,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4dheeom-jual-sepeda-elektrik-lipat-lankeleisi-moped-lite-edition-48v-8-7ah-g660
Sepeda Elektrik Lipat Lankeleisi Smart Moped 48V 10AH 1000W X2000 Plus,73355000,10282990,86,100,0,Jakarta Pusat,DKI Jakarta,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4dhea5j-jual-sepeda-elektrik-lipat-lankeleisi-smart-moped-48v-10ah-1000w-x2000-plus
Xiaomi Sepeda Elektrik Lipat QiCycle EF1 Smart Bicycle China - TDR1Z,67422500,14175200,79,100,0,Jakarta Pusat,DKI Jakarta,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4dhdpy4-jual-xiaomi-sepeda-elektrik-lipat-qicycle-ef1-smart-bicycle-china-tdr1z
Sepeda Lipat 20 Folding bike Pacific SPLENDID ALLOY,2250000,2245000,1,5,1,Kab. Bekasi,Jawa Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3y65aqk-jual-sepeda-lipat-20-folding-bike-pacific-splendid-alloy
Sepeda 16 Lipat Odessy Ritz 7Speeda Cakram New 2021,1400000,1400000,0,20,27,Kab. Bogor,Jawa Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4g7cdkj-jual-sepeda-16-lipat-odessy-ritz-7speeda-cakram-new-2021
Sepeda Lipat Odessy Ritz 16 20 inch Disc Brike,1350000,1350000,0,3,4,Karawang,Jawa Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4h2h22d-jual-sepeda-lipat-odessy-ritz-16-20-inch-disc-brike
Sepeda Lipat 20 Inch ODESSY 20 52 RITZ SHIMANO ORIGINAL 7 SPEED,1500000,1500000,0,10,157,Kab. Tangerang,Banten,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4h4x9eg-jual-sepeda-lipat-20-inch-odessy-20-52-ritz-shimano-original-7-speed
sepeda lipat 16 merk family maximo tipe Rion seri tx7 frame besi speed 7a2 ltwoo,1850000,1845000,1,9,1,Jakarta Selatan,DKI Jakarta,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4g409iy-jual-sepeda-lipat-16-merk-family-maximo-tipe-rion-seri-tx7-frame-besi-speed-7a2-ltwoo
Sepeda Lipat Element Troy X 10 Speed Titan Black Chromolly,3945000,3940000,1,10,7,Jakarta Barat,DKI Jakarta,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4egl9nm-jual-sepeda-lipat-element-troy-x-10-speed-titan-black-chromolly
Sepeda lipat senator 16 inch,1000000,995000,1,7,3,Jakarta Timur,DKI Jakarta,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4go9yrm-jual-sepeda-lipat-senator-16-inch
Sepeda Lipat 16 inch Pacific Noris 2.1 Pasific,2900000,2585000,11,39,1,Jambi,Jambi,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4ggvgxa-jual-sepeda-lipat-16-inch-pacific-noris-2-1-pasific
MURAH Sepeda Lipat 16 dan 20  Atlantis Crossby Cakram 7 Speed Shimano,1350000,1350000,0,5,5,Kab. Bekasi,Jawa Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4ft0vlg-jual-murah-sepeda-lipat-16-dan-20-atlantis-crossby-cakram-7-speed-shimano
SEPEDA LIPAT 16 ODESSY PHYTON 7SPEED,1325000,1320000,1,13,7,Kab. Bogor,Jawa Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4g6q4pv-jual-sepeda-lipat-16-odessy-phyton-7speed
Sepeda Elektrik Lipat Lankeleisi Luxury Edition 48V 10.4AH - G660,57733000,13015200,77,100,0,Jakarta Pusat,DKI Jakarta,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4dhefo7-jual-sepeda-elektrik-lipat-lankeleisi-luxury-edition-48v-10-4ah-g660
Lankeleisi Sepeda Elektrik Lipat Deluxe Vers 48V 10.4Ah G650,41023000,14186400,65,49,0,Jakarta Pusat,DKI Jakarta,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4ffzuy4-jual-lankeleisi-sepeda-elektrik-lipat-deluxe-vers-48v-10-4ah-g650
