Nama Toko,Nama,Harga,Harga Diskon,Diskon,Terjual,Kota,Website
k Gold Bonus Helm RMB RG-02,1.860.000,1.855.000,1%,15,Jember,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3uq7u0u-jual-sepeda-lipat-seli-police-milan-8-speed-black-gold-bonus-helm-rmb-rg-02
Papa Bersih 28,FNHON FREEDOM 16 INCH 3 SPEED SEPEDA LIPAT RINGAN FOLDING BIKE,6.750.000,6.750.000,0,1,Jakarta Selatan,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/446ukgp-jual-fnhon-freedom-16-inch-3-speed-sepeda-lipat-ringan-folding-bike
newbiebike,Sepeda Lipat Element Folding Bike Ecosmo z8 Coca-Cola Edition 20+ 22 inch 451,2.550.000,2.550.000,0,0,Bantul,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4hchj5y-jual-sepeda-lipat-element-folding-bike-ecosmo-z8-coca-cola-edition-20-22-inch-451
dbargez_store,SEPEDA LIPAT FOLDING BIKE ELEMENT ECOSMO Z8 BLACK PANTHER MARVEL,8.750.000,7.000.000,20%,1,Depok,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3rd50sa-jual-sepeda-lipat-folding-bike-element-ecosmo-z8-black-panther-marvel
dbargez_store,Sepeda lipat fnhon zephyr 9 speed 16 inch original,16.700.000,15.865.000,5%,0,Depok,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4gf676j-jual-sepeda-lipat-fnhon-zephyr-9-speed-16-inch-original
dbargez_store,Element Sepeda Lipat FoldX X9 Andalas 9 Speed Grey  FREE Helm Random,11.400.000,10.830.000,5%,0,Depok,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3vwasr5-jual-element-sepeda-lipat-foldx-x9-andalas-9-speed-grey-free-helm-random
1Bike,Sepeda Lipat 20 Folding bike Pacific SPLENDID ALLOY,2.250.000,2.245.000,1%,1,Kab. Bekasi,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3y65aqk-jual-sepeda-lipat-20-folding-bike-pacific-splendid-alloy
Cibinong Sparts,Sepeda 16 Lipat Odessy Ritz 7Speeda Cakram New 2021,1.400.000,1.400.000,0,27,Kab. Bogor,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4g7cdkj-jual-sepeda-16-lipat-odessy-ritz-7speeda-cakram-new-2021
RJ BIKE KARAWANG,Sepeda Lipat Odessy Ritz 16 20 inch Disc Brike,1.350.000,1.350.000,0,4,Karawang,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4h2h22d-jual-sepeda-lipat-odessy-ritz-16-20-inch-disc-brike
Sepedaholic,Sepeda Lipat 20 Inch ODESSY 20 52 RITZ SHIMANO ORIGINAL 7 SPEED,1.500.000,1.500.000,0,157,Kab. Tangerang,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4h4x9eg-jual-sepeda-lipat-20-inch-odessy-20-52-ritz-shimano-original-7-speed
sumber sukses sepeda,sepeda lipat 16 merk family maximo tipe Rion seri tx7 frame besi speed 7a2 ltwoo,1.850.000,1.845.000,1%,1,Jakarta Selatan,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4g409iy-jual-sepeda-lipat-16-merk-family-maximo-tipe-rion-seri-tx7-frame-besi-speed-7a2-ltwoo
BikeTM,Sepeda Lipat Element Troy X 10 Speed Titan Black Chromolly,3.945.000,3.940.000,1%,7,Jakarta Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4egl9nm-jual-sepeda-lipat-element-troy-x-10-speed-titan-black-chromolly
Gelemman Store,Sepeda lipat senator 16 inch,1.000.000,995.000,1%,3,Jakarta Timur,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4go9yrm-jual-sepeda-lipat-senator-16-inch
Toko sepeda maju jaya,Sepeda Lipat 16 inch Pacific Noris 2.1 Pasific,2.900.000,2.585.000,11%,1,Jambi,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4ggvgxa-jual-sepeda-lipat-16-inch-pacific-noris-2-1-pasific
1Bike,MURAH Sepeda Lipat 16 dan 20  Atlantis Crossby Cakram 7 Speed Shimano,1.350.000,1.350.000,0,5,Kab. Bekasi,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4ft0vlg-jual-murah-sepeda-lipat-16-dan-20-atlantis-crossby-cakram-7-speed-shimano
Lautan Jaya Bike,SEPEDA LIPAT 16 ODESSY PHYTON 7SPEED,1.325.000,1.320.000,1%,7,Kab. Bogor,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4g6q4pv-jual-sepeda-lipat-16-odessy-phyton-7speed
dbargez_store,Sepeda Lipat Element Ecosmo 10 Speed LIMITED EDITION SUMPAH PEMUDA,9.850.000,9.357.500,5%,0,Depok,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3vwc1ru-jual-sepeda-lipat-element-ecosmo-10-speed-limited-edition-sumpah-pemuda
dbargez_store,Element Sepeda Lipat 20 Inchi FoldX Lite Damn  I Love Indonesia Limited Edition New Design,15.350.000,14.582.500,5%,0,Depok,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3vw8nfo-jual-element-sepeda-lipat-20-inchi-foldx-lite-damn-i-love-indonesia-limited-edition-new-design
dbargez_store,Sepeda Lipat Ecosmo Z9 Save The Earth Special Edition Spec Mantap Bonus Helm RMB Ready Stock,13.100.000,12.445.000,5%,0,Depok,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3vwg5bn-jual-sepeda-lipat-ecosmo-z9-save-the-earth-special-edition-spec-mantap-bonus-helm-rmb-ready-stock
hobby_pesepeda,Fnhon Gust BARU Ubrake Sepeda Lipat Gust 349 16inci Plus Not Dahon Element pikes 3sixty Brompton,9.500.000,9.500.000,0,0,Jakarta Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4hatgnj-jual-fnhon-gust-baru-ubrake-sepeda-lipat-gust-349-16inci-plus-not-dahon-element-pikes-3sixty-brompton
Tokokulaku Bike,Sepeda Lipat Pacific Bike Noris 2.0 Alloy 20 inch Seli Grey Yellow Folding United Splendid Dahon Ecosmo Troy Foldx Element Exotic Gojek Gosend,4.800.000,1.970.000,59%,31,Jakarta Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3k9cjq4-jual-sepeda-lipat-pacific-bike-noris-2-0-alloy-20-inch-seli-grey-yellow-folding-united-splendid-dahon-ecosmo-troy-foldx-element-exotic-gojek-gosend
Cibinong Sparts,Sepeda 20 Lipat Element Police Milan New,1.900.000,1.895.000,1%,13,Kab. Bogor,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4e3vz07-jual-sepeda-20-lipat-element-police-milan-new
Kereta Retha,Sepeda Lipat Folding bike RUBICK GAS Shensa 16,2.727.000,2.727.000,0,1,Tangerang,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4gpdmb7-jual-sepeda-lipat-folding-bike-rubick-gas-shensa-16
imans renkaz,Sepeda Lipat Camp Hazy 9s,3.895.000,3.890.000,1%,9,Jakarta Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/2avtx3c-jual-sepeda-lipat-camp-hazy-9s
Toko sepeda maju jaya,Sepeda Lipat Pacific Flux 7.0 mirip troy fnhon gust,4.400.000,2.680.000,39%,33,Jambi,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3s01brg-jual-sepeda-lipat-pacific-flux-7-0-mirip-troy-fnhon-gust
Harapan Jaya Jember,Sepeda Lipat 20 Inter Bike 7 speed,1.100.000,1.095.000,1%,0,Jember,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4h34rq4-jual-sepeda-lipat-20-inter-bike-7-speed
CUNG BIKES ,Sepeda Lipat 20 inch Dahon ION Madison Frame Alloy 7 Speed Shimano,2.929.500,2.929.500,0,0,Kab. Tangerang,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4hbjgmd-jual-sepeda-lipat-20-inch-dahon-ion-madison-frame-alloy-7-speed-shimano
Tunggal Jaya,"Sepeda 20"" Lipat Trex",1.600.000,1.595.000,1%,9,Malang,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/1err27-jual-sepeda-20-lipat-trex
M .Khoirul Anas,SEPEDA LIPAT 20 AVALANCHE ALLOY TREX,1.800.000,1.800.000,0,0,Sidoarjo,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4g8wyjm-jual-sepeda-lipat-20-avalanche-alloy-trex
Toko sepeda maju jaya,Sepeda lipat Pacific Noris Indonesia 20 Inch,5.000.000,2.575.000,48%,2,Jambi,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3j9afno-jual-sepeda-lipat-pacific-noris-indonesia-20-inch
Mateo Express,Sepeda Lipat Everbest EB902 20 Inci x 1.50 Inci Hi-Ten Steel 1x7 Speed V-Brake Remaja-Dewasa Folding Bike,1.400.000,1.400.000,0,1,Jakarta Timur,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4geoy9v-jual-sepeda-lipat-everbest-eb902-20-inci-x-1-50-inci-hi-ten-steel-1x7-speed-v-brake-remaja-dewasa-folding-bike
SUMBER JAYA BIKE OFFICIAL,sepeda lipat 16 oddesy phyton,1.370.000,1.370.000,0,0,Depok,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4gdd09y-jual-sepeda-lipat-16-oddesy-phyton
Tokokulaku Bike,Pacific Noris 2980 RX 7.0 Sepeda Lipat 20 inch Grey NEW bukan Brompton Element 6.8 2.1 2.2 2.3 Pro Dahon Ecosmo Polygon Splendid,6.000.000,2.745.000,54%,24,Jakarta Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3rum9xh-jual-pacific-noris-2980-rx-7-0-sepeda-lipat-20-inch-grey-new-bukan-brompton-element-6-8-2-1-2-2-2-3-pro-dahon-ecosmo-polygon-splendid
Kereta Retha,Sepeda Lipat Anak Perempuan 16 inch Merk Kouan,950.000,945.000,1%,6,Tangerang,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4g4uu44-jual-sepeda-lipat-anak-perempuan-16-inch-merk-kouan
Mateo Express,"Sepeda Lipat Odessy OD-LP52 Ritz 16"" x 1.75"" Hi-Ten Steel 1x7Sp Mech Disc Brake Remaja Folding Bike",1.400.000,1.400.000,0,0,Jakarta Timur,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4h738wj-jual-sepeda-lipat-odessy-od-lp52-ritz-16-x-1-75-hi-ten-steel-1x7sp-mech-disc-brake-remaja-folding-bike
dbargez_store,Sepeda Lipat Pikes Gen 2 Special Edition Pevita Pearce,16.200.000,15.390.000,5%,0,Depok,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/3vwf60j-jual-sepeda-lipat-pikes-gen-2-special-edition-pevita-pearce
Tokokulaku Bike,Sepeda Lipat Exotic Explore 16 Inch By Pacific Bike Bukan Noris 20 inch Seli Grey Folding United 2.1 2.3 2980 Splendid  Ecosmo Element Gojek Gosend,2.650.000,1.845.000,30%,6,Jakarta Barat,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4g7evkm-jual-sepeda-lipat-exotic-explore-16-inch-by-pacific-bike-bukan-noris-20-inch-seli-grey-folding-united-2-1-2-3-2980-splendid-ecosmo-element-gojek-gosend
Sepedaholic,Sepeda Lipat 16 Inch ODESSY ROXAS 8.0 Chromoly 8 Speed,1.899.000,1.899.000,0,270,Kab. Tangerang,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4h4x9sa-jual-sepeda-lipat-16-inch-odessy-roxas-8-0-chromoly-8-speed
M .Khoirul Anas,SEPEDA LIPAT 20 INCH TREX SHIMANO DISCBRAKE,1.500.000,1.500.000,0,0,Sidoarjo,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4gyow07-jual-sepeda-lipat-20-inch-trex-shimano-discbrake
Sepedaholic,Sepeda Lipat 16 20 Inch ODESSY RITZ 2052 7 Speed Rem Cakram Boncengan,1.550.000,1.550.000,0,12,Kab. Tangerang,https://www.bukalapak.com/p/sepeda/fullbike/sepeda-lipat/4h4wvt7-jual-sepeda-lipat-16-20-inch-odessy-ritz-2052-7-speed-rem-cakram-boncengan
